CodigoExterno,Estado,CodigoEstado,Organismo,Sector,Region,Tipo,Rubro,Moneda,MontoEstimado,NumeroOferentes,CantidadReclamos,FechaCierre,Periodo,MontoAdjudicado
611134-1-LE26,Adjudicada,8,SUBSECRETARIA DEL MEDIO AMBIENTE,"Gob. Central, Universidades",Región Metropolitana de Santiago,LE,SERVICIOS MEDIOAMBIENTALES,CLP,,1.0,335.0,2026-03-19,2026-03,14510000.0
610-1-LE26,Adjudicada,8,Comisión Nacional de Energía,"Gob. Central, Universidades",Región Metropolitana de Santiago,LE,"SERVICIOS BASADOS EN INGENIERÍA, CIENCIAS SOCIALES Y TECNOLOGÍA DE LA INFORMACIÓN",CLP,60000000.0,5.0,2.0,2026-03-27,2026-03,47700000.0
608897-9-LE26,Adjudicada,8,SUBSECRETARIA DEL MEDIO AMBIENTE,"Gob. Central, Universidades",Región Metropolitana de Santiago,LE,"EDUCACIÓN, FORMACIÓN, ENTRENAMIENTO Y CAPACITACIÓN",CLP,10000000.0,15.0,335.0,2026-04-08,2026-03,6770000.0
608897-8-LE26,Adjudicada,8,SUBSECRETARIA DEL MEDIO AMBIENTE,"Gob. Central, Universidades",Región Metropolitana de Santiago,LE,SERVICIOS MEDIOAMBIENTALES,CLP,30000000.0,2.0,335.0,2026-03-16,2026-03,
608897-10-LE26,Adjudicada,8,SUBSECRETARIA DEL MEDIO AMBIENTE,"Gob. Central, Universidades",Región Metropolitana de Santiago,LE,SERVICIOS MEDIOAMBIENTALES,CLP,,4.0,335.0,2026-04-09,2026-03,14399000.0
608-76-LR26,Adjudicada,8,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,Salud,Región de Valparaíso ,LR,EQUIPAMIENTO Y SUMINISTROS MÉDICOS,CLP,535500000.0,1.0,3533.0,2026-05-04,2026-03,412200000.0
608-64-LP26,Adjudicada,8,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,Salud,Región de Valparaíso ,LP,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,83300000.0,3.0,3533.0,2026-04-14,2026-03,29500000.0
608-62-LP26,Adjudicada,8,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,Salud,Región de Valparaíso ,LP,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,342531980.0,1.0,3533.0,2026-03-25,2026-03,47520000.0
608-61-LP26,Adjudicada,8,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,Salud,Región de Valparaíso ,LP,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,287002891.0,10.0,3533.0,2026-03-25,2026-03,73000170.0
608-60-LP26,Adjudicada,8,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,Salud,Región de Valparaíso ,LP,EQUIPAMIENTO Y SUMINISTROS MÉDICOS,CLP,348685249.0,9.0,3533.0,2026-03-24,2026-03,201600000.0
608-52-LR26,Adjudicada,8,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,Salud,Región de Valparaíso ,LR,EQUIPAMIENTO Y SUMINISTROS MÉDICOS,CLP,686033017.0,7.0,3533.0,2026-04-27,2026-03,60000000.0
619133-29-LE26,Adjudicada,8,SERVICIO SALUD SAN FELIPE LOS ANDES HOSP,Salud,Región de Valparaíso ,LE,"ROPA, MALETAS Y PRODUCTOS DE ASEO PERSONAL",CLP,69751000.0,1.0,380.0,2026-03-16,2026-03,7500.0
608-48-LR26,Adjudicada,8,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,Salud,Región de Valparaíso ,LR,EQUIPAMIENTO Y SUMINISTROS MÉDICOS,CLP,697456620.0,5.0,3533.0,2026-04-06,2026-03,537039000.0
619133-30-LP26,Desierta (o art. 3 ó 9 Ley 19.886),7,SERVICIO SALUD SAN FELIPE LOS ANDES HOSP,Salud,Región de Valparaíso ,LP,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,348755000.0,1.0,380.0,2026-04-08,2026-03,
